id,first name,last NAME,gender,country,city,marital STATUS,phone NUMBER,HIRE date,birth DATE,job TITle,salary,department ID,manager_id,DIVISION name
19,Sheilakathryn,Edelman,Female,Armenia,Karanlukh,married,497-372-3204,2019-08-16,1987-06-01,"Mechanical Systems Engineer",9274,100,6,"Research and Development"
20,Kanya,Deakes,Male,Serbia,Badovinci,separated,525-505-0986,2020-08-01,1969-11-25,"Quality Engineer",8551,60,6,"Research and Development"
21,Leone,Bramont,Male,Nigeria,Oyo,widowed,329-887-6382,2007-12-19,1961-02-10,"Registered Nurse",5625,30,6,"Research and Development"
22,Susanetta,Gow,Female,Germany,Düsseldorf,single,638-678-3380,2001-05-08,1972-09-24,"Structural Analysis Engineer",22240,100,6,"Research and Development"
23,Joeann,Reedick,Male,Somalia,"Buur Gaabo",divorced,485-338-8615,2018-11-21,1965-08-24,"Marketing Assistant",16487,50,6,"Research and Development"
24,Dietrich,Detheridge,Male,Colombia,Liborina,separated,865-776-0015,2020-06-05,1978-05-29,"Database Administrator III",16974,20,6,"Research and Development"
25,Rinaldo,Pearman,Female,"Czech Republic",Ledenice,widowed,861-356-5872,2019-11-12,1975-06-17,"Sales Associate",5752,10,6,"Research and Development"
26,Sonja,Stonuary,Male,Tanzania,Masumbwe,divorced,371-948-6928,2010-08-17,1970-08-06,Recruiter,20452,30,6,"Research and Development"
27,Jeddy,Muckersie,Female,China,Changlong,married,646-433-9783,2017-07-08,1984-04-15,"Social Worker",22567,40,6,"Research and Development"
28,Marybeth,Timperley,Male,China,Tuanjie,divorced,446-978-8787,2009-07-11,1977-09-17,"Accounting Assistant I",23586,70,6,"Research and Development"
29,Masha,Diano,Female,China,Hugang,divorced,651-892-4590,2015-01-10,1988-05-28,"GIS Technical Architect",9917,30,6,"Research and Development"
30,Alysa,Harlett,Male,Indonesia,Krajandadapmulyo,separated,884-359-1385,2000-09-04,1961-08-22,"Product Engineer",22549,70,6,"Research and Development"
31,Kylen,Lundberg,Female,China,Hadabei,divorced,162-616-0071,2002-12-03,1985-01-09,"Food Chemist",21914,100,6,"Research and Development"
32,Hilliard,Clowton,Female,Indonesia,Menol,married,678-298-1727,2015-12-01,1983-02-13,"Analog Circuit Design manager",22921,90,6,"Research and Development"
33,Caralie,Mechem,Male,Canada,Inuvik,widowed,194-593-3512,2019-07-08,1980-03-31,"Senior Sales Associate",8471,90,6,"Research and Development"
34,Forest,Esch,Male,Colombia,Ginebra,divorced,433-412-1266,2010-08-29,1989-05-24,"Financial Analyst",21099,100,6,"Research and Development"
35,Karylin,Ravenshaw,Female,Indonesia,Cigebrok,single,550-925-9016,2000-03-01,1985-03-28,"Accountant I",19028,70,6,"Research and Development"
36,Ade,Oger,Female,China,Huwan,single,576-821-6279,2009-05-04,1977-12-26,"Web Developer IV",14027,80,6,"Research and Development"
37,Janaya,O'Keenan,Female,China,Meilong,single,406-555-6584,2001-09-24,1973-02-17,"Marketing Assistant",22683,60,6,"Research and Development"
38,Inness,Jeeks,Male,Thailand,"Ban Phai",widowed,474-948-6334,2005-07-25,1963-06-25,"Junior Executive",13613,30,6,"Research and Development"
39,Madonna,Erdes,Male,Cameroon,Bamusso,widowed,996-990-8539,2008-11-04,1988-07-02,"Help Desk Operator",6996,20,6,"Research and Development"
40,Clarice,Attac,Male,China,Xiushi,divorced,437-856-2240,2017-10-10,1973-01-19,"Associate Professor",9467,30,6,"Research and Development"
41,Halie,Ege,Female,China,Huoshaoping,separated,379-361-4869,2015-04-04,1973-05-09,"Help Desk Operator",23600,90,6,"Research and Development"
42,Kippie,Sallinger,Female,Indonesia,Pulosari,married,671-201-2618,2016-03-30,1988-02-07,"Software Engineer III",17733,100,6,"Research and Development"
43,Colline,Clixby,Male,"Palestinian Territory","Ash Shuhadā’",separated,905-558-5519,2008-05-23,1981-05-16,"Junior Executive",8892,80,6,"Research and Development"
44,Matilda,Botright,Female,China,Zhaizigou,widowed,511-565-1392,2007-07-28,1987-01-06,"Civil Engineer",21429,30,6,"Research and Development"
45,Danita,Matkin,Female,Philippines,Buenavista,married,650-374-9384,2009-04-20,1971-09-28,"Product Engineer",7122,30,6,"Research and Development"
46,Gretta,Dellow,Female,Ukraine,Dobropillya,separated,277-318-9576,2019-04-03,1962-04-20,"Research Associate",11030,90,6,"Research and Development"
47,Bram,Demageard,Female,Russia,"Staraya Derevnya",widowed,308-120-3037,2020-12-27,1983-06-10,"Legal Assistant",9070,100,6,"Research and Development"
48,Georgianna,Hunter,Female,Philippines,"Aranas Sur",separated,310-296-4915,2005-11-06,1981-05-12,"Junior Executive",13748,30,6,"Research and Development"
49,Sterne,Semonin,Male,Indonesia,Kusi,separated,229-728-2525,2019-04-23,1961-02-16,"Health Coach II",21125,60,6,"Research and Development"
50,Ned,Maylor,Male,China,Chenfang,widowed,746-439-8231,2019-08-15,1976-07-06,"Financial Advisor",24889,70,6,"Research and Development"
51,Petrina,Gottschalk,Male,Indonesia,Nangkasari,divorced,758-224-0074,2005-09-10,1975-07-03,"Senior Developer",15436,30,6,"Research and Development"
52,Bobine,Winston,Female,Indonesia,Tegalgede,single,837-406-9034,2016-04-17,1966-05-22,"Civil Engineer",18247,30,6,"Research and Development"
53,Malina,Bogges,Male,Kazakhstan,Atyrau,separated,523-847-0927,2015-03-22,1968-08-17,"Occupational Therapist",19669,30,6,"Research and Development"
54,Rex,Hedaux,Male,Bhutan,Sarpang,separated,159-826-7944,2016-10-24,1969-12-11,"Environmental Specialist",23715,20,6,"Research and Development"
55,Melitta,Roll,Male,China,Guiping,divorced,429-165-0682,2006-09-25,1981-05-02,"Business Systems Development Analyst",NULL,100,6,"Research and Development"
56,Sharon,Boundey,Male,"Czech Republic",Sedlčany,divorced,237-563-4992,2005-05-30,1962-10-01,"Mechanical Systems Engineer",22077,60,6,"Research and Development"
57,Wyndham,Yurkevich,Female,Germany,Saarbrücken,widowed,387-777-9654,2016-08-04,1966-11-24,"Safety Technician IV",23235,30,6,"Research and Development"
58,Armstrong,Saphin,Male,China,Luodong,NULL,136-291-8350,2014-07-19,1982-03-07,"Occupational Therapist",13045,20,6,"Research and Development"
59,Bambi,Skellion,Male,"Ivory Coast",San-Pédro,widowed,363-370-8737,2017-02-15,1989-08-03,"Analog Circuit Design manager",10361,40,6,"Research and Development"
60,Ines,Vasyaev,Female,"New Zealand",Timaru,widowed,617-225-6811,2002-03-18,1973-10-23,"Junior Executive",14271,10,6,"Research and Development"
61,Addy,Wakeman,Female,Ukraine,Bytkiv,married,673-417-8593,2004-01-30,1977-12-13,"Recruiting Manager",21652,20,6,"Research and Development"
62,Della,Harnetty,Female,"Sierra Leone",Binkolo,single,101-438-3479,2005-12-21,1961-09-21,"Dental Hygienist",19407,70,6,"Research and Development"
63,Monroe,Loadwick,Female,France,Fréjus,separated,832-793-1357,2003-10-10,1969-06-16,"VP Marketing",5671,80,6,"Research and Development"
64,Cullin,Perutto,Male,France,Bonneville,widowed,381-145-1320,2014-05-24,1964-03-25,Librarian,14109,60,6,"Research and Development"
65,Adler,Butchers,Male,Russia,Ilovka,widowed,393-898-9289,2000-09-19,1961-01-18,"VP Sales",12227,90,6,"Research and Development"
66,Kacy,Janus,Female,Peru,Tuti,widowed,905-353-7802,2008-11-30,1975-12-10,"Engineer I",22082,80,6,"Research and Development"
67,Shandy,Oleksiak,Male,France,Caluire-et-Cuire,widowed,362-637-5929,2012-07-02,1968-01-30,"Senior Sales Associate",10663,70,6,"Research and Development"
68,Selina,Sjollema,Female,Indonesia,Karangsumber,single,413-741-9196,2001-10-29,1984-03-23,"Environmental Tech",21706,50,6,"Research and Development"
69,Murdock,Hamprecht,Female,Russia,Krasnokamensk,married,545-854-4078,2013-03-23,1985-08-14,"Assistant Manager",12366,10,6,"Research and Development"
70,Frederica,Sciusscietto,Female,Argentina,Allen,married,442-429-0868,2014-04-07,1964-01-12,Teacher,7207,30,6,"Research and Development"
71,Roshelle,Daile,Female,Portugal,Erada,separated,280-907-1910,2005-04-13,1966-11-24,"Registered Nurse",21905,90,6,"Research and Development"
72,Regine,Kennsley,Male,"Democratic Republic of the Congo",Bumba,single,481-189-4034,2003-08-15,1964-01-21,"Research Nurse",13218,50,6,"Research and Development"
73,Cobb,Saggs,Female,Ukraine,Chuhuyiv,divorced,540-346-7608,2019-04-23,1960-10-23,"Research Assistant I",9383,40,6,"Research and Development"
74,Carilyn,Esson,Female,Russia,Akademgorodok,divorced,813-395-2425,2009-11-20,1985-05-17,"Structural Analysis Engineer",16973,30,6,"Research and Development"
75,Lilly,Rope,Female,China,Hougong,widowed,275-543-1213,2015-05-17,1975-12-03,Nurse,9603,40,6,"Research and Development"
76,Morlee,Beneix,Male,Indonesia,Panyarang,divorced,770-996-6654,2013-08-23,1988-10-21,"Nurse Practicioner",24789,40,6,"Research and Development"
77,Hi,Lung,Male,China,Qinxi,single,201-401-5142,2014-02-02,1986-04-26,"Mechanical Systems Engineer",24402,40,6,"Research and Development"
78,Thedrick,Russell,Female,Brazil,"São Caetano do Sul",single,867-254-0711,2002-09-29,1989-08-30,"Administrative Officer",20908,100,6,"Research and Development"
79,Lissie,Winear,Female,"United States",Chicago,widowed,312-537-0115,2003-03-11,1985-03-25,"Administrative Assistant IV",9296,80,6,"Research and Development"
80,Perry,Royste,Female,"United States",Augusta,single,706-163-1217,2019-12-07,1981-10-26,"Human Resources Assistant IV",21357,30,6,"Research and Development"
81,Catharina,"De Santos",Male,Indonesia,Kaliwates,separated,743-446-0155,2017-10-31,1977-04-23,"Automation Specialist II",20498,20,6,"Research and Development"
82,Sianna,Sywell,Male,Chile,Coronel,widowed,719-332-8917,2015-12-27,1960-08-04,"Data Coordiator",18054,80,6,"Research and Development"
83,Kameko,Trude,Male,Portugal,Sabóia,separated,950-485-7785,2001-12-28,1988-06-17,"Human Resources Manager",9747,60,6,"Research and Development"
84,Emelina,Gibbetts,Male,China,Qianyou,married,889-602-0780,2011-02-12,1971-02-27,"Accounting Assistant II",18883,60,6,"Research and Development"
85,Garrik,Conley,Female,Portugal,Nogueira,separated,896-501-0137,2017-03-10,1985-12-05,"Junior Executive",23653,20,6,"Research and Development"
86,Georg,Pedersen,Male,Philippines,Balbalan,single,904-509-9810,2004-04-28,1976-09-26,"Software Test Engineer II",17371,80,6,"Research and Development"
87,Gavrielle,Nafzger,Female,Cuba,Nuevitas,married,250-411-6123,2007-10-10,1960-11-30,"Technical Writer",10742,30,6,"Research and Development"
88,Felix,Braund,Female,Russia,"Vasil’yevskiy Mokh",married,798-102-5317,2008-02-14,1987-01-03,"Research Nurse",14681,10,6,"Research and Development"
89,Boot,Kaines,Female,Indonesia,"Banjar Batanpoh",divorced,347-786-8231,2011-07-20,1977-06-06,"Research Assistant IV",10006,60,6,"Research and Development"
90,Demeter,Fawlkes,Female,Sudan,"Ad Dabbah",single,560-876-4894,2009-11-23,1986-03-22,"Legal Assistant",18599,90,6,"Research and Development"
91,Quintilla,Brussels,Male,China,Yijing,married,353-623-3737,2010-04-16,1985-05-21,"Data Coordiator",22199,80,6,"Research and Development"
92,Claudetta,Meneghi,Male,Philippines,Corcuera,single,242-209-3530,2015-07-30,1987-03-04,"Software Engineer II",20224,20,6,"Research and Development"
93,Jakie,Watmore,Male,Poland,Chełmiec,single,758-814-5647,2004-03-29,1981-08-27,Pharmacist,19692,80,6,"Research and Development"
94,Jakob,Trubshaw,Male,"Czech Republic",Netolice,widowed,272-428-0746,2011-08-30,1986-01-23,"Marketing Assistant",12007,50,6,"Research and Development"
95,Lorie,Benedit,Female,Argentina,Añatuya,divorced,648-759-8278,2004-05-26,1985-05-30,"General Manager",9754,80,6,"Research and Development"
96,Andromache,Huddle,Female,"South Korea",Kinzan,divorced,945-801-9859,2003-09-09,1977-08-15,"Systems Administrator III",8104,10,6,"Research and Development"
97,Carey,Malby,Female,Bolivia,Boyuibe,divorced,740-528-8533,2009-01-18,1968-06-24,"Automation Specialist I",23726,10,6,"Research and Development"
98,Irv,Harbord,Female,Peru,Nicasio,married,732-523-7839,2012-11-26,1986-04-30,"Chemical Engineer",11929,40,6,"Research and Development"
99,Aurore,Jakoviljevic,Male,China,Magitang,separated,705-671-2934,2009-11-20,1974-01-17,"Junior Executive",17049,60,6,"Research and Development"
100,Nicholle,Giraldon,Male,Tunisia,Tāklisah,separated,130%555%999,2020-04-02,1962-09-08,"Recruiting Manager",6661,20,6,"Research and Development"
101,Jeni,Gerdes,Male,Bolivia,Warnes,married,663-673-7017,2009-11-13,1968-05-29,"Automation Specialist II",12735,60,6,"Research and Development"
102,Hartley,Zamora,Male,Brazil,Extremoz,divorced,400-694-4846,2013-02-01,1968-12-05,Editor,18063,90,6,"Research and Development"
103,Anatol,Carloni,Male,Russia,Pravdinsk,widowed,992-279-5891,2012-02-09,1985-05-16,"Health Coach III",12409,80,6,"Research and Development"
104,Tarra,Boyland,Female,Sweden,Farsta,widowed,590-411-7822,2010-12-12,1984-12-23,Pharmacist,11310,50,6,"Research and Development"
105,Daffi,Evenden,Male,Sweden,Solna,single,107-634-2158,2015-11-02,1972-07-13,"Structural Engineer",17013,60,6,"Research and Development"
106,Collete,Nelsen,Male,Slovenia,Dornava,single,202-968-3067,2010-01-27,1981-10-27,"Programmer Analyst II",10437,80,6,"Research and Development"
107,Caye,Crownshaw,Female,China,Longtian,single,982-849-7076,2006-09-10,1982-12-19,"Chief Design Engineer",10911,30,6,"Research and Development"
108,Angil,Ingerith,Male,Ukraine,Horokhiv,separated,346-385-1222,2016-09-18,1985-03-27,"Accounting Assistant III",15083,20,6,"Research and Development"
109,Stacee,Antliff,Male,China,Shaba,married,549-251-3978,2017-03-11,1978-10-24,"Budget/Accounting Analyst IV",6589,50,6,"Research and Development"
110,Jeremie,Sperring,Male,China,Jiguan,married,847-177-9740,2018-05-22,1987-12-05,"Account Representative I",24177,50,6,"Research and Development"
111,Kristine,Callister,Female,Sweden,Göteborg,divorced,601-587-9171,2015-01-03,1975-03-13,Editor,8250,20,6,"Research and Development"
112,Alyssa,Pencot,Male,Nigeria,Lere,married,399-909-9648,2005-06-06,1982-04-21,"Help Desk Technician",19955,20,6,"Research and Development"
113,Hannis,Durant,Female,Russia,Suzëmka,single,816-402-3075,2013-09-28,1977-07-29,"Physical Therapy Assistant",5775,100,6,"Research and Development"
114,Ollie,Kilgannon,Female,Sweden,Tyresö,separated,775-493-1392,2005-08-26,1964-12-11,"Senior Cost Accountant",22925,90,6,"Research and Development"
115,Otha,Slimings,Female,Indonesia,Cilongkrang,divorced,101-495-8436,2002-07-22,1984-02-01,"Cost Accountant",5413,90,6,"Research and Development"
116,Lonnard,Domenici,Male,Argentina,Maimará,separated,240-860-2453,2010-02-19,1964-02-24,"VP Accounting",6925,10,6,"Research and Development"
117,Kaile,Crowder,Female,Japan,Ōmachi,widowed,739-430-0681,2017-08-11,1965-06-18,"Quality Control Specialist",20910,60,6,"Research and Development"
118,Rayner,Huc,Female,Indonesia,Jetis,married,796-640-3337,2019-12-29,1984-02-11,"Chemical Engineer",21195,40,6,"Research and Development"
119,Lina,Woodruff,Male,China,Donglu,single,216-183-5355,2019-02-18,1983-02-18,"Director of Sales",11003,40,6,"Research and Development"
120,Fred,Kleewein,Male,China,Gaogu,separated,339-304-7577,2005-10-17,1961-12-17,"Registered Nurse",17624,40,6,"Research and Development"
121,Celia,Dawnay,Male,Indonesia,Badean,separated,772-881-8107,2006-02-04,1978-10-24,"Structural Analysis Engineer",24442,30,6,"Research and Development"
122,Lettie,Twitchings,Male,China,Runan,single,931-812-2937,2015-01-19,1971-06-11,"Help Desk Operator",8816,60,6,"Research and Development"
123,Dona,Teece,Female,Portugal,"Santo Adrião Vizela",divorced,559-559-7734,2005-10-03,1972-08-22,"Occupational Therapist",20074,20,6,"Research and Development"
124,Cosetta,Shelly,Male,"Saudi Arabia",Rābigh,divorced,151-290-1826,2002-09-25,1963-06-26,"Graphic Designer",21974,10,6,"Research and Development"
125,Marice,Gibbie,Male,Indonesia,"Banjar Brahmanabukit",divorced,908-585-3071,2002-10-10,1988-10-21,"Assistant Media Planner",21024,80,6,"Research and Development"
126,Marjie,Bunworth,Female,Japan,Sasaguri,divorced,888-874-6826,2017-04-13,1966-12-30,"Nuclear Power Engineer",16420,60,6,"Research and Development"
127,Sophi,Grene,Female,China,Kuzhuping,single,308-144-1913,2001-08-07,1982-09-27,"Desktop Support Technician",13866,90,6,"Research and Development"
128,Kathryne,Ambage,Male,China,Huocheng,single,707-913-9467,2013-03-02,1960-12-13,"Senior Developer",10013,60,6,"Research and Development"
129,Janos,Earley,Male,China,Yangzhuang,widowed,153-251-7615,2000-04-14,1979-09-06,Paralegal,5644,20,6,"Research and Development"
130,Griff,Lewsie,Male,Indonesia,Puor,widowed,886-770-6809,2005-03-09,1964-12-30,"Executive Secretary",24984,40,6,"Research and Development"
131,Bronnie,McComas,Female,China,Tomorlog,widowed,909-525-7969,2019-10-24,1977-09-06,"Automation Specialist IV",19272,40,6,"Research and Development"
132,Freddie,Quartley,Female,China,Nansan,married,548-770-0070,2019-03-09,1971-08-25,"Safety Technician II",24963,70,6,"Research and Development"
133,Farlay,Masserel,Male,Egypt,"Al Jīzah",divorced,565-439-0965,2018-11-06,1967-12-18,"Electrical Engineer",12247,30,6,"Research and Development"
134,Ashbey,Overall,Female,Ukraine,Rubizhne,married,555-538-7557,2015-08-03,1966-09-24,"Assistant Professor",5916,50,6,"Research and Development"
135,Andra,Lumpkin,Female,Greece,Íos,divorced,760-275-0013,2008-11-14,1977-12-23,"Media Manager III",6408,40,6,"Research and Development"
136,Torre,Parkman,Female,"Palestinian Territory","Khān Yūnis",separated,308-771-7206,2005-06-07,1962-02-25,"Chief Design Engineer",18988,50,6,"Research and Development"
137,Frank,Caghan,Male,Indonesia,Tonggakjati,married,519-131-0079,2007-07-26,1962-12-16,"Staff Scientist",10545,70,6,"Research and Development"
138,Kora,Stonman,Female,Philippines,Sogod,widowed,728-207-6591,2010-10-15,1989-05-10,"Human Resources Assistant IV",8492,10,6,"Research and Development"
139,Carolee,Livingston,Female,Afghanistan,"Qala i Naw",widowed,990-795-6998,2013-11-17,1971-10-28,"Quality Engineer",18128,100,6,"Research and Development"
140,Linoel,Marrington,Male,Vietnam,"Hà Tĩnh",widowed,941-987-5331,2004-12-29,1970-09-18,"Registered Nurse",24984,50,6,"Research and Development"
141,Alford,Neiland,Female,Philippines,Itbayat,married,324-386-6206,2018-09-09,1982-04-05,"Nurse Practicioner",5155,20,6,"Research and Development"
142,Fionnula,Crummy,Female,Philippines,Hingatungan,divorced,291-169-0970,2010-03-13,1972-12-01,"Senior Editor",17308,20,6,"Research and Development"
143,Truda,Clissell,Male,Sweden,Stockholm,divorced,624-114-2839,2013-03-08,1989-08-05,"Staff Scientist",9290,20,6,"Research and Development"
144,Rex,O'Currane,Female,Peru,Huacachi,single,222-597-0835,2003-05-24,1975-05-13,Teacher,24138,10,6,"Research and Development"
145,Joannes,Abba,Male,France,Saint-Chamond,widowed,433-699-6942,2005-07-18,1987-07-22,"VP Product Management",9485,30,6,"Research and Development"
146,Burk,"De Clairmont",Male,Vietnam,"Thị Trấn Nguyên Bình",married,562-971-4691,2009-04-09,1987-12-26,Editor,10250,40,6,"Research and Development"
147,Abagail,Cud,Female,China,Maopingchang,married,674-787-3511,2018-03-17,1980-04-03,"Design Engineer",6251,20,6,"Research and Development"
148,Vassily,Ekell,Male,Cyprus,Dhromolaxia,single,506-224-7806,2002-06-21,1969-09-24,"Structural Analysis Engineer",8476,90,6,"Research and Development"
149,Pacorro,Kiljan,Male,China,Guluoshan,divorced,317-758-5504,2020-04-13,1962-12-11,"Chemical Engineer",11125,40,6,"Research and Development"
150,Claudius,Cater,Female,Canada,Macamic,married,572-331-6221,2007-03-30,1968-12-23,"Staff Accountant II",24984,10,6,"Research and Development"
151,Susanna,Meiklejohn,Male,Russia,Ramenki,divorced,901-360-4352,2002-10-04,1986-12-23,"Junior Executive",6549,50,6,"Research and Development"
152,Dee,MacGiffin,Male,Canada,"Pincher Creek",single,271-652-2389,2014-09-12,1971-01-08,"Recruiting Manager",23572,10,6,"Research and Development"
153,Carma,Charlon,Female,China,Xiaoya,widowed,320-277-6755,2015-08-11,1975-08-19,"Project Manager",5526,50,6,"Research and Development"
154,Jozef,Crisall,Male,Russia,Kovernino,separated,140-247-0077,2000-11-02,1977-01-25,"VP Accounting",24370,10,6,"Research and Development"
155,Claudell,Edney,Male,Philippines,"Santo Domingo",divorced,518-924-1504,2016-11-02,1985-04-06,"Desktop Support Technician",24573,60,6,"Research and Development"
156,Darcee,Brookfield,Male,Philippines,Paniqui,separated,525-943-1171,2009-11-18,1967-04-17,"Legal Assistant",24320,10,6,"Research and Development"
157,Rees,Imms,Male,"United States",Washington,single,202-617-5129,2008-03-01,1970-09-05,"Business Systems Development Analyst",NULL,70,6,"Research and Development"
158,Kimberly,McCarroll,Female,Nigeria,Yandev,single,465-217-5139,2005-02-04,1970-05-17,"Software Engineer I",15213,50,6,"Research and Development"
159,Karissa,Greatorex,Female,Sweden,Fagersta,widowed,868-208-7001,2011-06-05,1979-07-09,"Financial Analyst",23458,30,6,"Research and Development"
160,Simonette,Pottell,Female,China,Hudai,widowed,507-770-6221,2002-01-11,1982-04-01,"Marketing Manager",6016,10,6,"Research and Development"
161,Taite,Tomsu,Female,France,Clermont-Ferrand,divorced,488-764-7027,2011-03-08,1981-06-18,"Senior Editor",16929,50,6,"Research and Development"
162,Hillary,Masi,Male,Philippines,Talisayan,single,464-313-8812,2009-01-04,1987-04-25,"Senior Cost Accountant",6463,90,6,"Research and Development"
163,Jenica,Royston,Female,China,Zoumachang,widowed,518-181-0998,2017-11-28,1982-06-20,"Senior Financial Analyst",16401,100,6,"Research and Development"
164,Gretta,Bartlomieczak,Male,Germany,"Stuttgart Stuttgart-Mitte",single,304-329-2367,2004-02-12,1974-01-11,Paralegal,9173,40,6,"Research and Development"
165,Chloris,Cuthbertson,Female,Ukraine,Ustynivka,single,380-668-4383,2010-01-15,1975-04-15,"Accountant III",9793,20,6,"Research and Development"
166,Ernest,Stride,Female,Indonesia,Cikijing,married,673-154-7298,2018-11-05,1979-03-31,"Desktop Support Technician",6425,50,6,"Research and Development"
167,Dore,Benneton,Male,China,Luoqi,divorced,127-474-8887,2017-05-15,1963-12-04,"Engineer IV",23369,100,6,"Research and Development"
168,Janis,Winckworth,Female,China,Wanmu,single,877-269-7607,2014-01-15,1960-10-18,"Physical Therapy Assistant",8731,10,6,"Research and Development"
169,Carolann,O'Bradden,Female,France,Senlis,separated,997-468-0871,2006-04-03,1983-09-06,"Data Coordiator",8057,100,6,"Research and Development"
170,Helge,Costard,Male,France,Vineuil,divorced,154-637-9849,2019-05-04,1987-08-17,"Senior Quality Engineer",15530,10,6,"Research and Development"
171,Johnathon,Poole,Male,Thailand,"Pathum Thani",single,377-552-7304,2006-03-05,1972-09-19,"Database Administrator II",19459,30,6,"Research and Development"
172,Selma,Nellies,Male,Argentina,Chimbas,widowed,869-408-5463,2018-08-03,1988-12-03,"Geologist III",11306,30,6,"Research and Development"
173,Errol,Necolds,Male,Russia,Luknovo,single,868-608-2499,2018-08-11,1963-01-29,"Chief Design Engineer",5211,100,6,"Research and Development"
174,Martha,MacKean,Female,Portugal,Insua,separated,723-658-4295,2006-12-01,1974-12-17,"Account Representative II",11586,30,6,"Research and Development"
175,Abby,Andrzejczak,Female,Albania,Strum,separated,937-936-0884,2018-05-04,1976-03-05,"Administrative Assistant I",14044,70,6,"Research and Development"
176,Phineas,Woonton,Male,Madagascar,Manjakandriana,single,969-931-7600,2002-06-24,1961-01-10,"Help Desk Operator",16472,60,6,"Research and Development"
177,Neely,Eastham,Male,Ukraine,Vylkove,divorced,498-479-4542,2008-07-20,1983-05-22,Recruiter,16552,70,6,"Research and Development"
178,Griffith,Epgrave,Male,"United States",Orlando,single,941-461-5440,2010-03-26,1973-06-13,"Senior Cost Accountant",20128,70,6,"Research and Development"
179,Ivie,Abbyss,Male,Poland,Nowe,single,528-556-5977,2002-10-10,1983-02-06,"Staff Accountant II",24535,20,6,"Research and Development"
180,Nicolis,Bettam,Female,China,Xiage,married,930-819-8027,2017-03-09,1987-06-26,"VP Sales",11670,20,6,"Research and Development"
181,Innis,Feuell,Male,China,Zhongxing,divorced,478-719-2114,2016-03-22,1975-06-21,Professor,9262,10,6,"Research and Development"
182,Dulce,Losty,Female,Poland,Krosno,married,787-728-7007,2010-04-26,1987-04-27,"Environmental Tech",13315,100,6,"Research and Development"
183,Bernie,Potell,Female,Portugal,"Fenais da Luz",single,963-713-9781,2002-03-07,1960-03-24,"Technical Writer",24368,10,6,"Research and Development"
184,Cullie,Melmeth,Female,"United States",Washington,separated,202-211-1300,2012-07-13,1989-12-17,"Project Manager",24032,100,6,"Research and Development"
185,Bruno,Sennett,Male,Peru,Trinidad,single,327-905-3264,2009-04-23,1962-01-24,"Civil Engineer",24325,100,6,"Research and Development"
186,Hamlen,Saffrin,Male,Albania,Dërmënas,single,868-756-6465,2006-08-26,1986-07-07,"Senior Editor",13893,20,6,"Research and Development"
